ME;SYMBOL;miRNA;miRNA Count;Tarbase;miRNA Details;;;;;;;;;;
blue;TAF5L;hsa-miR-26b-5p;15;hsa-miR-155-5p;hsa-miR-26b-5p;hsa-miR-125a-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-378a-3p;hsa-miR-18a-5p;hsa-miR-148b-3p;hsa-miR-125b-5p;hsa-miR-196a-5p;;
blue;NMT1;hsa-miR-143-3p;10;#N/A;hsa-miR-143-3p;hsa-miR-7-5p;hsa-miR-181a-5p;hsa-miR-193a-3p;hsa-miR-140-5p;hsa-miR-99b-5p;hsa-miR-148b-3p;;;;
blue;SCOC;hsa-miR-143-3p;6;#N/A;hsa-miR-143-3p;hsa-miR-181a-5p;hsa-miR-18a-5p;;;;;;;;
blue;IRF2;hsa-miR-143-3p;8;hsa-miR-18a-5p;hsa-miR-143-3p;hsa-miR-20a-5p;hsa-miR-378a-3p;;;;;;;;
blue;GORASP2;hsa-miR-181a-5p;6;#N/A;hsa-miR-181a-5p;hsa-miR-130a-3p;hsa-miR-18a-5p;;;;;;;;
blue;DBNDD1;hsa-miR-143-3p;5;#N/A;hsa-miR-143-3p;hsa-miR-378a-3p;hsa-miR-196a-5p;;;;;;;;
blue;HNRNPH3;hsa-miR-181a-5p;7;#N/A;hsa-miR-181a-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-140-5p;;;;;;;
blue;FOXP1;hsa-miR-125a-3p;9;hsa-miR-34a-5p;hsa-miR-125a-3p;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-130a-3p;hsa-miR-140-5p;hsa-miR-92a-3p;;;;;
blue;GBF1;hsa-miR-7-5p;6;#N/A;hsa-miR-7-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-140-5p;;;;;;;
blue;SLC25A24;hsa-miR-181a-5p;9;#N/A;hsa-miR-181a-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;hsa-miR-196a-5p;;;;;;
blue;PCGF5;hsa-miR-125a-3p;6;hsa-miR-92a-3p;hsa-miR-125a-3p;hsa-miR-21-5p;hsa-miR-130a-3p;hsa-miR-140-5p;;;;;;;
blue;ANKFY1;hsa-miR-21-5p;18;#N/A;hsa-miR-21-5p;hsa-miR-7-5p;hsa-miR-181a-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-378a-3p;hsa-miR-193a-3p;hsa-miR-140-5p;hsa-miR-18a-5p;hsa-miR-196a-5p
blue;RAPGEFL1;hsa-miR-20a-5p;6;#N/A;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;;;;;;;;
blue;RUSC1;hsa-miR-125a-3p;5;#N/A;hsa-miR-125a-3p;hsa-miR-7-5p;hsa-miR-181a-5p;hsa-miR-193a-3p;;;;;;;
blue;GPD2;hsa-miR-21-5p;10;hsa-miR-206;hsa-miR-21-5p;hsa-miR-7-5p;hsa-miR-181a-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-92a-3p;;;;;
blue;SLC25A37;hsa-miR-143-3p;6;#N/A;hsa-miR-143-3p;hsa-miR-181a-5p;hsa-miR-26b-5p;;;;;;;;
blue;RFK;hsa-miR-21-5p;6;#N/A;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-26b-5p;;;;;;;;
blue;RARB;hsa-miR-20a-5p;7;hsa-miR-1-3p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-196a-5p;;;;;;;
blue;EPB41L1;hsa-miR-130a-3p;5;#N/A;hsa-miR-130a-3p;hsa-miR-18a-5p;hsa-miR-148b-3p;;;;;;;;
blue;MTMR10;hsa-miR-181a-5p;5;#N/A;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-148b-3p;;;;;;;;
blue;CDK12;hsa-miR-143-3p;5;#N/A;hsa-miR-143-3p;hsa-miR-26b-5p;hsa-miR-140-5p;;;;;;;;
blue;TNFAIP1;hsa-miR-181a-5p;9;hsa-miR-373-3p;hsa-miR-181a-5p;hsa-miR-125a-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-125b-5p;;;;;;
blue;CEP164;hsa-miR-20a-5p;7;#N/A;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-148b-3p;;;;;;;
blue;GULP1;hsa-miR-26b-5p;7;#N/A;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-92a-3p;;;;;;;
blue;GABBR1;hsa-miR-143-3p;9;#N/A;hsa-miR-143-3p;hsa-miR-7-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;;;;;;
blue;STK35;hsa-miR-7-5p;5;#N/A;hsa-miR-7-5p;hsa-miR-125a-5p;hsa-miR-125b-5p;hsa-miR-196a-5p;;;;;;;
blue;GDA;hsa-miR-21-5p;13;#N/A;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-140-5p;;;;
