Node1;Module1;weight;;;
ENSG00000138028;black;2.10500527746379;;CGREF1;cell growth regulator with EF-hand domain 1(CGREF1)
ENSG00000230936;black;2.03145946456835;;LOC10012;sapiens    RNA exonuclease 1 homolog(LOC100129276)
ENSG00000122025;black;2.02614454723457;;FLT3;fms related receptor tyrosine kinase 3(FLT3)
ENSG00000131368;black;1.93953997926992;;MRPS25;mitochondrial ribosomal protein S25(MRPS25)
ENSG00000067365;black;1.91759330887941;;METTL22;methyltransferase 22, Kin17 lysine(METTL22)
ENSG00000105640;black;1.5686423457761;;RPL18A;ribosomal protein L18a(RPL18A)
ENSG00000197658;black;1.54796950576231;;SLC22A24;sapiens    solute carrier family 22 member 24(SLC22A24)
ENSG00000114013;black;1.46057225557101;;CD86;CD86 molecule(CD86)
ENSG00000073910;black;1.01220922146553;;FRY;FRY microtubule binding protein(FRY)
ENSG00000158941;black;1.00521632749072;;CCAR2;cell cycle and apoptosis regulator 2(CCAR2)
ENSG00000112655;black;0.973031699260086;;PTK7;protein tyrosine kinase 7 (inactive)(PTK7)
ENSG00000087253;black;0.913660034790737;;LPCAT2;lysophosphatidylcholine acyltransferase 2(LPCAT2)
ENSG00000227355;black;0.894714492398139;;#N/A;#N/A
ENSG00000239392;black;0.820564072632863;;#N/A;#N/A
ENSG00000105993;black;0.796660736490528;;DNAJB6;DnaJ heat shock protein family (Hsp40) member B6(DNAJB6)
ENSG00000148358;black;0.721804413562527;;GPR107;G protein-coupled receptor 107(GPR107)
ENSG00000170925;black;0.714225701487849;;TEX13B;testis expressed 13B(TEX13B)
ENSG00000233388;black;0.705447188296997;;LOC10013;sapiens    tRNA methyltransferase 11 homolog (S. cerevisiae) pseudogene(LOC100131536)
ENSG00000254712;black;0.69878256292295;;#N/A;#N/A
ENSG00000102595;black;0.685886513953574;;UGGT2;UDP-glucose glycoprotein glucosyltransferase 2(UGGT2)
ENSG00000196365;blue;95.4072003195987;;LONP1;lon peptidase 1, mitochondrial(LONP1)
ENSG00000142552;blue;91.307639140161;;RCN3;reticulocalbin 3(RCN3)
ENSG00000166912;blue;90.1728172033901;;MTMR10;myotubularin related protein 10(MTMR10)
ENSG00000258561;blue;89.938595785963;;#N/A;#N/A
ENSG00000147454;blue;89.8946796792366;;SLC25A37;sapiens    solute carrier family 25 member 37(SLC25A37)
ENSG00000142609;blue;88.7733492413663;;CFAP74;cilia and flagella associated protein 74(CFAP74)
ENSG00000156239;blue;86.986318731853;;N6AMT1;N-6 adenine-specific DNA methyltransferase 1(N6AMT1)
ENSG00000153130;blue;86.10082303199;;SCOC;short coiled-coil protein(SCOC)
ENSG00000168310;blue;85.982840204032;;IRF2;interferon regulatory factor 2(IRF2)
ENSG00000070423;blue;85.5463495825026;;RNF126;ring finger protein 126(RNF126)
ENSG00000225756;blue;84.8808158528803;;DBH-AS1;DBH antisense RNA 1(DBH-AS1)
ENSG00000175591;blue;84.6757084724622;;P2RY2;purinergic receptor P2Y2(P2RY2)
ENSG00000234210;blue;82.994860871821;;LOC10192;sapiens    uncharacterized LOC101927914(LOC101927914)
ENSG00000204681;blue;82.8974419367004;;GABBR1;gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
ENSG00000151715;blue;82.4668484583159;;TMEM45B;transmembrane protein 45B(TMEM45B)
ENSG00000168993;blue;80.6018766078771;;CPLX1;complexin 1(CPLX1)
ENSG00000115806;blue;79.5646254231819;;GORASP2;golgi reassembly stacking protein 2(GORASP2)
ENSG00000104055;blue;79.433067394343;;TGM5;transglutaminase 5(TGM5)
ENSG00000117525;blue;79.4125869398313;;F3;coagulation factor III, tissue factor(F3)
ENSG00000007314;blue;78.9849365177175;;SCN4A;sodium voltage-gated channel alpha subunit 4(SCN4A)
ENSG00000107281;brown;26.6778668036949;;NPDC1;neural proliferation, differentiation and control 1(NPDC1)
ENSG00000081177;brown;24.8308249658373;;EXD2;exonuclease 3'-5' domain containing 2(EXD2)
ENSG00000177000;brown;24.1627275280311;;MTHFR;methylenetetrahydrofolate reductase(MTHFR)
ENSG00000223855;brown;24.0509266991323;;PDGFA-DT;sapiens    PDGFA divergent transcript(PDGFA-DT)
ENSG00000129636;brown;23.6876676058284;;ITFG1;integrin alpha FG-GAP repeat containing 1(ITFG1)
ENSG00000165914;brown;22.6597302179646;;TTC7B;tetratricopeptide repeat domain 7B(TTC7B)
ENSG00000156804;brown;22.4846721598168;;FBXO32;F-box protein 32(FBXO32)
ENSG00000233684;brown;22.3586745528692;;#N/A;#N/A
ENSG00000054965;brown;22.3187063456588;;FAM168A;family with sequence similarity 168 member A(FAM168A)
ENSG00000286102;brown;22.1749878006115;;FAM246A;family with sequence similarity 246 member A(FAM246A)
ENSG00000180346;brown;21.9719664203421;;TIGD2;tigger transposable element derived 2(TIGD2)
ENSG00000136813;brown;21.9318625433387;;ECPAS;Ecm29 proteasome adaptor and scaffold(ECPAS)
ENSG00000076928;brown;21.6448686229714;;ARHGEF1;Rho guanine nucleotide exchange factor 1(ARHGEF1)
ENSG00000243225;brown;21.569412760368;;#N/A;#N/A
ENSG00000271435;brown;21.505802222255;;TEKT4P3;tektin 4 pseudogene 3(TEKT4P3)
ENSG00000200036;brown;21.4558572648564;;RNA5SP65;sapiens    RNA, 5S ribosomal pseudogene 65(RNA5SP65)
ENSG00000137094;brown;21.0857043197663;;DNAJB5;DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)
ENSG00000106686;brown;20.9645466239547;;SPATA6L;spermatogenesis associated 6 like(SPATA6L)
ENSG00000140557;brown;20.3859389203671;;ST8SIA2;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2(ST8SIA2)
ENSG00000185269;brown;20.0129379702561;;NOTUM;notum, palmitoleoyl-protein carboxylesterase(NOTUM)
ENSG00000229498;green;25.9083639306952;;#N/A;#N/A
ENSG00000234429;green;25.4666780274285;;ANKRD11P;sapiens    ANKRD11 pseudogene 1(ANKRD11P1)
ENSG00000087250;green;25.1587952486205;;MT3;metallothionein 3(MT3)
ENSG00000254477;green;25.1238433452986;;#N/A;#N/A
ENSG00000159733;green;24.9897444181609;;ZFYVE28;zinc finger FYVE-type containing 28(ZFYVE28)
ENSG00000073060;green;24.5018571025232;;SCARB1;scavenger receptor class B member 1(SCARB1)
ENSG00000054654;green;24.4171354245811;;SYNE2;spectrin repeat containing nuclear envelope protein 2(SYNE2)
ENSG00000136231;green;23.7993658932054;;IGF2BP3;insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
ENSG00000148218;green;23.6954777036681;;ALAD;aminolevulinate dehydratase(ALAD)
ENSG00000077463;green;23.2466968769071;;SIRT6;sirtuin 6(SIRT6)
ENSG00000089693;green;23.1802473448911;;MLF2;myeloid leukemia factor 2(MLF2)
ENSG00000174718;green;22.779655096634;;RESF1;retroelement silencing factor 1(RESF1)
ENSG00000163374;green;22.523278094669;;YY1AP1;YY1 associated protein 1(YY1AP1)
ENSG00000167703;green;21.9563843063647;;SLC43A2;solute carrier family 43 member 2(SLC43A2)
ENSG00000101825;green;21.9405659391481;;MXRA5;matrix remodeling associated 5(MXRA5)
ENSG00000164161;green;21.6802598292356;;HHIP;hedgehog interacting protein(HHIP)
ENSG00000082781;green;21.498169110465;;ITGB5;integrin subunit beta 5(ITGB5)
ENSG00000134551;green;21.4116163703758;;PRH2;proline rich protein HaeIII subfamily 2(PRH2)
ENSG00000214039;green;21.0489328983074;;LINC0241;sapiens    long intergenic non-protein coding RNA 2418(LINC02418)
ENSG00000105428;green;20.6904701582654;;ZNRF4;zinc and ring finger 4(ZNRF4)
ENSG00000283785;red;8.03663028777964;;MIR15A;microRNA 15a(MIR15A)
ENSG00000208023;red;7.7515352361636;;MIR185;microRNA 185(MIR185)
ENSG00000208013;red;7.72585177969728;;MIR652;microRNA 652(MIR652)
ENSG00000199032;red;7.66601401992029;;MIR425;microRNA 425(MIR425)
ENSG00000199150;red;7.29950702063696;;MIRLET7G;sapiens    microRNA let-7g(MIRLET7G)
ENSG00000207625;red;7.29365356702964;;MIR128-2;sapiens    microRNA 128-2(MIR128-2)
ENSG00000284231;red;6.95717373817582;;MIR424;microRNA 424(MIR424)
ENSG00000207691;red;6.95072552062723;;MIR183;microRNA 183(MIR183)
ENSG00000207973;red;6.65818666502769;;MIR589;microRNA 589(MIR589)
ENSG00000207965;red;6.50824406634928;;MIR629;microRNA 629(MIR629)
ENSG00000207779;red;6.47975032362802;;MIR15B;microRNA 15b(MIR15B)
ENSG00000207758;red;6.24776002201526;;MIR532;microRNA 532(MIR532)
ENSG00000207698;red;5.94824994913492;;MIR32;microRNA 32(MIR32)
ENSG00000206925;red;5.87577555722661;;#N/A;#N/A
ENSG00000215930;red;5.85856962754641;;MIR942;microRNA 942(MIR942)
ENSG00000212024;red;5.84273962094002;;MIR550A3;sapiens    microRNA 550a-3(MIR550A3)
ENSG00000271886;red;5.76562257705553;;MIR98;microRNA 98(MIR98)
ENSG00000202273;red;5.72901268574849;;#N/A;#N/A
ENSG00000207714;red;5.70239498529897;;MIR584;microRNA 584(MIR584)
ENSG00000264661;red;5.67636021861776;;MIR3200;microRNA 3200(MIR3200)
ENSG00000010379;turquoise;61.5239093706483;;SLC6A13;solute carrier family 6 member 13(SLC6A13)
ENSG00000135749;turquoise;58.8509967162903;;PCNX2;pecanex 2(PCNX2)
ENSG00000012232;turquoise;58.2745889984438;;EXTL3;exostosin like glycosyltransferase 3(EXTL3)
ENSG00000140521;turquoise;57.2166014356325;;POLG;DNA polymerase gamma, catalytic subunit(POLG)
